marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(_),type_2
SMART,SMART FORTWO COUPE (45kW) SOFTIP/SOFTOUCH,MST1001DP322,4.0,45.0,M 6,6.0,4.0,4.7,113.0,ES,B,-700,MST1001D
DAIHATSU,TREVIS,MJD1002NC173,4.0,43.0,M 5,6.0,4.1,4.8,114.0,ES,B,-700,MJD1002N
SMART,SMART FORTWO 1.0L  BVM5,MST1105DJ334,4.0,52.0,M 5,6.6,4.1,4.9,116.0,ES,B,-700,MST1105D
SMART,SMART FORTWO 1.0L  BVM5,MST1105DS343,4.0,52.0,M 5,6.6,4.1,4.9,116.0,ES,B,-700,MST1105D
SMART,SMART FORTWO 1.0L  BVM5,MST1201DK333,5.0,62.0,M 5,6.4,4.1,4.9,116.0,ES,B,-700,MST1201D
SMART,SMART FORTWO 1.0L  BVM5,MST1201DR340,5.0,62.0,M 5,6.4,4.1,4.9,116.0,ES,B,-700,MST1201D
SMART,SMART FORTWO 1.0L  BVM5,MST1205D3344,5.0,62.0,M 5,6.4,4.1,4.9,116.0,ES,B,-700,MST1205D
SMART,SMART FORTWO 1.0L  BVM5,MST1205DU335,5.0,62.0,M 5,6.4,4.1,4.9,116.0,ES,B,-700,MST1205D
SMART,SMART FORTWO CABRIOLET 1.0L (52kW),MST1105D2353,4.0,52.0,M 5,6.6,4.1,4.9,116.0,ES,B,-700,MST1105D
SMART,SMART ROADSTER (45kW),MST1005BP193,4.0,45.0,M 6,6.2,4.1,4.9,116.0,ES,B,-700,MST1005B
KIA,PICANTO 1.0,MKA1002RJ784,4.0,45.6,M 5,5.9,4.4,4.9,117.0,ES,B,-700,MKA1002R
DAIHATSU,SIRION II 1.0L,MJD1102HS149,4.0,51.0,M 5,6.1,4.4,5.0,118.0,ES,B,-700,MJD1102H
FIAT,500 1.2 8v Dual Logic,MFT11211Z261,4.0,51.0,M 5,6.2,4.3,5.0,118.0,ES,B,-700,MFT11211
KIA,PICANTO 1.0,MKA1002RF780,4.0,47.8,M 5,6.2,4.3,5.0,118.0,ES,B,-700,MKA1002R
