marque,modele_version,mine,cnit,carburant,puissance_fiscale,puissance_reelle,bv,urb,ex_urb,mixte,co2,mois_annee
ALFA-ROMEO,166 3.0L V6 SPORTRONIC,MAL3902GB578,936A110112D,ES,16,162.0,A 4,19.4,9.3,13.0,310.0,Janvier 2006
ALFA-ROMEO,166 3.2L V6,MAL1902G9582,936AXB0017B,ES,17,176.5,M 6,18.3,9.1,12.5,297.0,Janvier 2006
ALFA-ROMEO,GT 1.8L,MAL1601K6510,937CXR1A26,ES,9,103.0,M 5,12.1,6.4,8.5,202.0,Janvier 2006
ALFA-ROMEO,GT COUPE 2.0L JTS,MAL1701K6500,937CXH1A22,ES,11,122.0,M 5,12.2,6.7,8.7,207.0,Janvier 2006
ALFA-ROMEO,GT COUPE 2.0L JTS SELESPEED,MAL1701K5499,937CXH1123,ES,11,122.0,M 5,12.2,6.7,8.7,207.0,Janvier 2006
ALFA-ROMEO,GT COUPE 3.2L,MAL1901KS502,937CXP1B25,ES,17,176.5,M 6,18.6,8.7,12.4,295.0,Janvier 2006
ALFA-ROMEO,GT COUPE JTD (150ch) M JET,MAL5601K5630,937CXN1B24C,GO,9,110.0,M 6,8.5,4.9,6.2,165.0,Janvier 2006
ALFA-ROMEO,GTV 2.0L JTS,MAL1701H0436,916CXA0036,ES,11,122.0,M 5,13.3,6.8,9.2,220.0,Janvier 2006
ALFA-ROMEO,GTV 2.0L TS,MAL1601HP435,916C2C0035D,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,Janvier 2006
ALFA-ROMEO,GTV 3.2L V6 24V,MAL1901HM438,916CXB0038,ES,18,176.5,M 6,19.9,9.3,13.2,315.0,Janvier 2006
ALFA-ROMEO,SPIDER 2.0L JTS,MAL1705FB441,916SXA0037B,ES,11,122.0,M 5,13.3,6.8,9.2,220.0,Janvier 2006
ALFA-ROMEO,SPIDER 2.0L TS,MAL1605F0440,916S2C0034E,ES,10,110.0,M 5,13.3,6.8,9.2,220.0,Janvier 2006
ALFA-ROMEO,SPIDER 3.2L V6 24V,MAL1905FW442,916SXB0039B,ES,18,176.5,M 6,19.9,9.3,13.2,315.0,Janvier 2006
ASTON MARTIN,DB9 VOLANTE/COUPE,MAM1901JN109,VH1A3R4AMBB,ES,39,336.0,M 6,26.4,12.8,17.8,421.0,Janvier 2006
ASTON MARTIN,DB9 VOLANTE/COUPE,MAM1901JP110,VH1A4L4AMBB,ES,39,336.0,M 6,26.4,12.8,17.8,421.0,Janvier 2006
ASTON MARTIN,DB9 VOLANTE/COUPE,MAM1905JX111,VH1B3R4AMBB,ES,39,336.0,M 6,26.4,12.8,17.8,421.0,Janvier 2006
ASTON MARTIN,DB9 VOLANTE/COUPE,MAM1905JY112,VH1B4L4AMBB,ES,39,336.0,M 6,26.4,12.8,17.8,421.0,Janvier 2006
ASTON MARTIN,DB9 VOLANTE/COUPE BVA,MAM3901J0105,VH1A1R4AAAA,ES,39,336.0,A 6,24.9,11.7,16.5,394.0,Janvier 2006
ASTON MARTIN,DB9 VOLANTE/COUPE BVA,MAM3901J1106,VH1A2L4AAAA,ES,39,336.0,A 6,24.9,11.7,16.5,394.0,Janvier 2006
ASTON MARTIN,DB9 VOLANTE/COUPE BVA,MAM3905JA107,VH1B1R4AAAA,ES,39,336.0,A 6,24.9,11.7,16.5,394.0,Janvier 2006
ASTON MARTIN,DB9 VOLANTE/COUPE BVA,MAM3905JB108,VH1B2L4AAAA,ES,39,336.0,A 6,24.9,11.7,16.5,394.0,Janvier 2006
ASTON MARTIN,V12 VANQUISH S,MAM1901GC101,AMV03B1RCVWX4,ES,48,388.0,M 6,28.2,13.4,18.9,448.0,Janvier 2006
ASTON MARTIN,V12 VANQUISH S,MAM1901GD102,AMV03B2LCVWX4,ES,48,388.0,M 6,28.2,13.4,18.9,448.0,Janvier 2006
ASTON MARTIN,V12 VANQUISH S,MAM1901GE103,AMV03B3RCVWX2,ES,48,388.0,M 6,28.2,13.4,18.9,448.0,Janvier 2006
ASTON MARTIN,V12 VANQUISH S,MAM1901GF104,AMV03B4LCVWX2,ES,48,388.0,M 6,28.2,13.4,18.9,448.0,Janvier 2006
ASTON MARTIN,VANTAGE,MAM1901CK113,VH2C1R2BMCC,ES,32,283.0,M 6,25.2,12.5,17.2,406.0,Janvier 2006
ASTON MARTIN,VANTAGE,MAM1901CL114,VH2C2L2BMCC,ES,32,283.0,M 6,25.2,12.5,17.2,406.0,Janvier 2006
AUDI,A3 1.6L (102ch),MAU13E1GJ481,8PLBGUF1FM5AF006R8P60T20GGL,ES,6,75.0,M 5,9.6,5.5,7.0,168.0,Janvier 2006
