marques,modele,typ._mines,cnit,carb,cv,puiss.,bv,urbain,ex.urb,mixte,co2
ISUZU,TROOPER Citation 4P BVA,MJU8704A5200,UBS73WS1GTAJ110AAA5,GO,12,117.0,A 4,14.0,9.1,10.9,289
ISUZU,TROOPER Duty 2P BVA,MJU8704AK215,UBS73WS1DTAJ125BAA4,GO,12,117.0,A 4,14.0,9.1,10.9,289
ISUZU,TROOPER Duty 4P 7PL BVA,MJU8704AA205,UBS73WS1GTAJ115AAA7,GO,12,117.0,A 4,14.0,9.1,10.9,289
ISUZU,TROOPER Duty 4P BVA,MJU8704A2197,UBS73WS1GTAJ107AAA5,GO,12,117.0,A 4,14.0,9.1,10.9,289
LAND ROVER,RANGE ROVER 2.5L,MLD6504B1198,LPMW018,GO,11,100.0,M 5,13.4,8.9,10.6,289
DAEWOO,MUSSO 2.9 SELTD BVA,MDW8404GL214,FJWD21L1HLEDL,GO,10,88.0,A 4,14.2,9.1,11.0,290
SSANGYONG,MUSSO 2.9 SELTD BVA,MSS8404AV434,FJWD21L1HLEDL,GO,10,88.0,A 4,14.2,9.1,11.0,290
TOYOTA,LAND CRUISER SW 4.2TD,MJT6824QQ031,J10HDJ100(N)HDJ100L-GNMEZW(1C),GO,15,150.0,M 5,14.0,9.4,11.1,292
TOYOTA,LAND CRUISER SW 4.2TD 7PL,MJT6824QR032,J10HDJ100(N)HDJ100L-GNMEZW(2C),GO,15,150.0,M 5,14.0,9.4,11.1,292
LAND ROVER,DEFENDER 110 STATION WAGON 9PL,MLD6404C9190,LDM8018,GO,10,90.0,M 5,12.7,9.7,10.8,299
LAND ROVER,RANGE ROVER 2.5L BVA,MLD8504B6197,LPMW014,GO,11,100.0,A 4,14.5,9.6,11.4,304
JEEP,GRAND CHEROKEE 3.1L TD,MJ48604AG283,WGWB8410,GO,11,103.0,A 4,14.9,9.7,11.7,308
NISSAN,PATROL BAROUD,MJN6313LC020,260AA1,GO,10,73.5,M 5,13.8,10.4,11.7,310
TOYOTA,LAND CRUISER SW 4.2TD 7PL BVA,MJT8824QZ034,J10HDJ100(N)HDJ100L-GNPEZW(2C),GO,16,150.0,A 4,15.8,10.8,12.6,340
TOYOTA,LAND CRUISER SW 4.2TD BVA,MJT8824QY033,J10HDJ100(N)HDJ100L-GNPEZW(1C),GO,16,150.0,A 4,15.8,10.8,12.6,340
MERCEDES-BENZ,G 400 CDI BREAK COURT BVA,MMB89C4N8696,463C2D1F1VCAAA50,GO,19,184.0,A 5,16.1,11.0,12.8,343
MERCEDES-BENZ,G 400 CDI BREAK LONG BVA,MMB89C4NA698,463C7D1F1VCAAAA0,GO,19,184.0,A 5,16.1,11.0,12.8,343
MERCEDES-BENZ,G 400 CDI CABRIOLET BVA,MMB89C1NS916,463C4D1F1VCAAA50,GO,19,184.0,A 5,16.1,11.0,12.8,343
