marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie,bonus(-)/malus(+)
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE84,9,80.0,M 6,12.1,8.0,9.5,252.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE92,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPE93,9,80.0,M 6,12.6,8.2,9.8,260.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPF19,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPF64,9,80.0,M 6,12.9,8.5,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPF65,9,80.0,M 6,13.1,8.5,10.2,271.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI17,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI25,9,80.0,M 6,12.6,8.2,9.8,260.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI26,9,80.0,M 6,12.6,8.2,9.8,260.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI34,9,80.0,M 6,12.8,8.2,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI35,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI53,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI61,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI62,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI70,9,80.0,M 6,12.6,8.2,9.8,260.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI71,9,80.0,M 6,12.6,8.2,9.8,260.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPI80,9,80.0,M 6,12.8,8.4,10.0,266.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPJ33,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPJ34,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPJ42,9,80.0,M 6,12.6,8.2,9.8,260.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPJ43,9,80.0,M 6,12.7,8.3,9.9,263.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPJ51,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPJ52,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPJ70,9,80.0,M 6,11.9,7.8,9.3,247.0,GO,F,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPK05,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPK06,9,80.0,M 6,13.0,8.4,10.1,268.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPK14,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BPK15,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BQA98,9,80.0,M 6,12.3,8.2,9.7,258.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BQC78,9,80.0,M 6,12.2,8.1,9.6,255.0,GO,G,+ 2600
MERCEDES-BENZ,SPRINTER 311 4X4,MMB63L3BQC87,9,80.0,M 6,13.3,8.7,10.4,276.0,GO,G,+ 2600
