marque,modele_version,cnit,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,carburant,etiquette_energie
AUDI,A3 2.0 TDI (170ch) S TRONIC FAP,MAU77G1GU286,10,125.0,A 6,7.6,4.9,5.9,156,GO,D
AUDI,A3 2.0 TDI (170ch) S TRONIC FAP,MAU77G1GW288,10,125.0,A 6,7.6,4.9,5.9,156,GO,D
AUDI,A3 2.0L FSI (150ch),MAU16G1G6330,9,110.0,M 6,10.3,5.8,7.4,177,ES,E
AUDI,A3 2.0L FSI (150ch),MAU16G1G8332,9,110.0,M 6,10.3,5.8,7.4,177,ES,E
AUDI,A3 2.0L FSI (150ch) TIPTRONIC,MAU36G1G4326,9,110.0,A 6,11.5,6.0,8.0,192,ES,E
AUDI,A3 2.0L FSI (150ch) TIPTRONIC,MAU36G1G6328,9,110.0,A 6,11.5,6.0,8.0,192,ES,E
AUDI,A3 2.0L TFSI (200ch),MAU18G1GG338,12,147.0,M 6,10.9,6.0,7.8,186,ES,E
AUDI,A3 2.0L TFSI (200ch),MAU18G1GJ340,12,147.0,M 6,10.9,6.0,7.8,186,ES,E
AUDI,A3 2.0L TFSI (200ch) QUATTRO,MAU28G1GL342,13,147.0,M 6,12.3,6.8,8.8,209,ES,F
AUDI,A3 2.0L TFSI (200ch) QUATTRO,MAU28G1GN344,13,147.0,M 6,12.3,6.8,8.8,209,ES,F
AUDI,A3 2.0L TFSI S (200ch) TRONIC,MAU38G1GE334,12,147.0,A 6,10.6,6.0,7.7,184,ES,E
AUDI,A3 2.0L TFSI S (200ch) TRONIC,MAU38G1GG336,12,147.0,A 6,10.6,6.0,7.7,184,ES,E
AUDI,A3 SPORTBACK 1.6L (102ch),MAU13G2GE303,7,75.0,M 5,9.7,5.7,7.2,171,ES,E
AUDI,A3 SPORTBACK 1.6L (102ch),MAU13G2GG305,7,75.0,M 5,9.7,5.7,7.2,171,ES,E
AUDI,A3 SPORTBACK 1.6L (102ch) TIPTRONIC,MAU33G2GC299,7,75.0,A 6,10.9,5.9,7.7,183,ES,E
AUDI,A3 SPORTBACK 1.6L (102ch) TIPTRONIC,MAU33G2GE301,7,75.0,A 6,10.9,5.9,7.7,183,ES,E
AUDI,A3 SPORTBACK 1.6L FSI (115ch),MAU14G2GS255,7,85.0,M 6,8.8,5.3,6.6,158,ES,D
AUDI,A3 SPORTBACK 1.6L FSI (115ch),MAU14G2GU257,7,85.0,M 6,8.8,5.3,6.6,158,ES,D
AUDI,A3 Sportback 1.8T FSI,MAU17G2GV837,10,118.0,M 6,10.1,5.8,7.4,176,ES,E
AUDI,A3 Sportback 1.8T FSI S tronic,MAU37G2GT833,10,118.0,A 6,10.4,5.8,7.5,179,ES,E
AUDI,A3 SPORTBACK 1.9 TDI (105ch) FAP,MAU53G2G5265,6,77.0,M 5,6.2,4.3,5.0,132,GO,C
AUDI,A3 SPORTBACK 1.9 TDI (105ch) FAP,MAU53G2G9269,6,77.0,M 5,6.2,4.3,5.0,132,GO,C
AUDI,A3 SPORTBACK 1.9 TDI (105ch) S TRONIC,MAU73G1GP346,6,77.0,A 6,7.8,4.5,5.7,151,GO,D
AUDI,A3 SPORTBACK 1.9 TDI (105ch) S TRONIC,MAU73G1GR348,6,77.0,A 6,7.8,4.5,5.7,151,GO,D
AUDI,A3 SPORTBACK 1.9 TDI (105ch) S TRONIC FAP,MAU73G2G1259,6,77.0,A 6,7.6,4.9,5.9,159,GO,D
AUDI,A3 SPORTBACK 1.9 TDI (105ch) S TRONIC FAP,MAU73G2G3261,6,77.0,A 6,7.6,4.9,5.9,159,GO,D
AUDI,A3 SPORTBACK 2.0 FSI TIPTRONIC,MAU36G2GL826,9,110.0,A 6,11.6,6.1,8.1,194,ES,E
AUDI,A3 SPORTBACK 2.0 TDI (136ch),MAU55G2G5227,7,100.0,M 6,6.8,4.4,5.3,140,GO,C
AUDI,A3 SPORTBACK 2.0 TDI (136ch),MAU55G2G7229,7,100.0,M 6,6.8,4.4,5.3,140,GO,C
AUDI,A3 SPORTBACK 2.0 TDI (140ch),MAU56G2GQ247,8,103.0,M 6,7.2,4.6,5.5,146,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch),MAU56G2GS249,8,103.0,M 6,7.2,4.6,5.5,146,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) FAP,MAU56G2GM279,8,103.0,M 6,7.0,4.6,5.5,148,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) FAP,MAU56G2GP281,8,103.0,M 6,7.0,4.6,5.5,148,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) QUATTRO,MAU66G2GV251,8,103.0,M 6,7.7,4.9,5.9,156,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) QUATTRO,MAU66G2GX253,8,103.0,M 6,7.7,4.9,5.9,156,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) QUATTRO FAP,MAU66G2GR283,8,103.0,M 6,7.7,5.1,6.0,159,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) QUATTRO FAP,MAU66G2GT285,8,103.0,M 6,7.7,5.1,6.0,159,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) S TRONIC,MAU76G2GK239,8,103.0,A 6,7.6,4.9,5.8,154,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) S TRONIC,MAU76G2GM241,8,103.0,A 6,7.6,4.9,5.8,154,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) S TRONIC,MAU76G2GP243,8,103.0,A 6,7.6,4.9,5.8,154,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) S TRONIC,MAU76G2GQ245,8,103.0,A 6,7.6,4.9,5.8,154,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) S TRONIC FAP,MAU76G2GG271,8,103.0,A 6,7.5,4.5,5.6,151,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) S TRONIC FAP,MAU76G2GJ273,8,103.0,A 6,7.5,4.5,5.6,151,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) S TRONIC FAP,MAU76G2GK275,8,103.0,A 6,7.5,4.5,5.6,151,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (140ch) S TRONIC FAP,MAU76G2GM277,8,103.0,A 6,7.5,4.5,5.6,151,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (170ch) FAP,MAU57G2GA291,10,125.0,M 6,7.8,4.6,5.8,154,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (170ch) FAP,MAU57G2GC293,10,125.0,M 6,7.8,4.6,5.8,154,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (170ch) QUATTRO FAP,MAU67G2GF295,10,125.0,M 6,8.5,5.1,6.4,173,GO,E
AUDI,A3 SPORTBACK 2.0 TDI (170ch) QUATTRO FAP,MAU67G2GH297,10,125.0,M 6,8.5,5.1,6.4,173,GO,E
AUDI,A3 SPORTBACK 2.0 TDI (170ch) S TRONIC FAP,MAU77G2GX287,10,125.0,A 6,7.6,4.9,5.9,156,GO,D
AUDI,A3 SPORTBACK 2.0 TDI (170ch) S TRONIC FAP,MAU77G2GZ289,10,125.0,A 6,7.6,4.9,5.9,156,GO,D
AUDI,A3 SPORTBACK 2.0L FSI (150ch),MAU16G2G9331,9,110.0,M 6,10.3,5.8,7.4,177,ES,E
AUDI,A3 SPORTBACK 2.0L FSI (150ch),MAU16G2GB333,9,110.0,M 6,10.3,5.8,7.4,177,ES,E
AUDI,A3 SPORTBACK 2.0L FSI (150ch) TIPTRONIC,MAU36G2G7327,9,110.0,A 6,11.5,6.0,8.0,192,ES,E
AUDI,A3 SPORTBACK 2.0L TFSI (200ch),MAU18G2GJ339,12,147.0,M 6,11.0,6.1,7.9,189,ES,E
AUDI,A3 SPORTBACK 2.0L TFSI (200ch),MAU18G2GL341,12,147.0,M 6,11.0,6.1,7.9,189,ES,E
AUDI,A3 SPORTBACK 2.0L TFSI (200ch) QUATTRO,MAU28G2GP343,13,147.0,M 6,12.4,6.9,8.9,212,ES,F
AUDI,A3 SPORTBACK 2.0L TFSI (200ch) QUATTRO,MAU28G2GQ345,13,147.0,M 6,12.4,6.9,8.9,212,ES,F
AUDI,A3 SPORTBACK 2.0L TFSI S (200ch) TRONIC,MAU38G2GH335,12,147.0,A 6,10.6,6.0,7.7,184,ES,E
AUDI,A3 SPORTBACK 2.0L TFSI S (200ch) TRONIC,MAU38G2GJ337,12,147.0,A 6,10.6,6.0,7.7,184,ES,E
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO,MAU29G2GX315,17,184.0,M 6,14.7,8.1,10.5,250,ES,F
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO,MAU29G2GZ317,17,184.0,M 6,14.7,8.1,10.5,250,ES,F
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO S TRONIC,MAU49G2GR307,17,184.0,A 6,13.1,7.6,9.6,228,ES,F
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO S TRONIC,MAU49G2GT309,17,184.0,A 6,13.1,7.6,9.6,228,ES,F
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO S TRONIC,MAU49G2GV311,17,184.0,A 6,13.1,7.6,9.6,228,ES,F
AUDI,A3 SPORTBACK V6 3.2L (250ch) QUATTRO S TRONIC,MAU49G2GX313,17,184.0,A 6,13.1,7.6,9.6,228,ES,F
AUDI,A3 V6 3.2L (250ch) QUATTRO,MAU29G1GU314,17,184.0,M 6,14.7,8.1,10.5,250,ES,F
AUDI,A3 V6 3.2L (250ch) QUATTRO,MAU29G1GW316,17,184.0,M 6,14.7,8.1,10.5,250,ES,F
AUDI,A3 V6 3.2L (250ch) QUATTRO S TRONIC,MAU49G1GP306,17,184.0,A 6,13.0,7.5,9.5,226,ES,F
AUDI,A3 V6 3.2L (250ch) QUATTRO S TRONIC,MAU49G1GQ308,17,184.0,A 6,13.0,7.5,9.5,226,ES,F
AUDI,A3 V6 3.2L (250ch) QUATTRO S TRONIC,MAU49G1GS310,17,184.0,A 6,13.0,7.5,9.5,226,ES,F
AUDI,A3 V6 3.2L (250ch) QUATTRO S TRONIC,MAU49G1GU312,17,184.0,A 6,13.0,7.5,9.5,226,ES,F
AUDI,A4 1.6L (102ch),MAU13G2FN094,7,75.0,M 5,10.8,6.0,7.7,184,ES,E
AUDI,A4 1.6L (102ch),MAU13G2FP095,7,75.0,M 5,10.8,6.0,7.7,184,ES,E
AUDI,A4 1.8L T (150ch) MULTITRONIC,MAU97G2F2122,10,120.0,V 0,11.4,6.5,8.3,199,ES,E
AUDI,A4 1.8L T (150ch) MULTITRONIC,MAU97G2F3123,10,120.0,V 0,11.4,6.5,8.3,199,ES,E
AUDI,A4 1.8L T (163ch),MAU17G2FW124,10,120.0,M 5,11.3,6.4,8.2,197,ES,E
AUDI,A4 1.8L T (163ch),MAU17G2FX125,10,120.0,M 5,11.3,6.4,8.2,197,ES,E
AUDI,A4 1.8L T (163ch) QUATTRO,MAU27G2F0127,11,120.0,M 6,12.8,7.1,9.2,221,ES,F
AUDI,A4 1.8L T (163ch) QUATTRO,MAU27G2FZ126,11,120.0,M 6,12.8,7.1,9.2,221,ES,F
AUDI,A4 1.9TDI (116ch),MAU54G2F1164,7,85.0,M 5,7.8,4.5,5.7,152,GO,D
AUDI,A4 1.9TDI (116ch),MAU54G2F3166,7,85.0,M 5,7.8,4.5,5.7,152,GO,D
AUDI,A4 1.9TDI (116ch) FAP,MAU54G2F2165,7,85.0,M 5,7.8,4.5,5.7,154,GO,D
AUDI,A4 1.9TDI (116ch) FAP,MAU54G2F4167,7,85.0,M 5,7.8,4.5,5.7,154,GO,D
AUDI,A4 2.0L (130ch),MAU15G2FN092,8,96.0,M 5,11.6,6.1,8.1,193,ES,E
AUDI,A4 2.0L (130ch),MAU15G2FP093,8,96.0,M 5,11.6,6.1,8.1,193,ES,E
AUDI,A4 2.0L (130ch) MULTITRONIC,MAU95G2FT090,8,96.0,V 0,11.0,6.3,8.0,191,ES,E
AUDI,A4 2.0L (130ch) MULTITRONIC,MAU95G2FU091,8,96.0,V 0,11.0,6.3,8.0,191,ES,E
AUDI,A4 2.0L TFSI (200ch),MAU18G2FP212,12,147.0,M 6,10.9,5.8,7.7,184,ES,E
AUDI,A4 2.0L TFSI (200ch),MAU18G2FP213,12,147.0,M 6,10.9,5.8,7.7,184,ES,E
AUDI,A4 2.0L TFSI (200ch) MULTITRONIC,MAU98G2FU210,12,147.0,V 0,11.2,6.3,8.1,194,ES,E
AUDI,A4 2.0L TFSI (200ch) MULTITRONIC,MAU98G2FV211,12,147.0,V 0,11.2,6.3,8.1,194,ES,E
AUDI,A4 2.0L TFSI (200ch) QUATTRO,MAU28G2FT216,13,147.0,M 6,12.6,6.6,8.8,209,ES,F
AUDI,A4 2.0L TFSI (200ch) QUATTRO,MAU28G2FU217,13,147.0,M 6,12.6,6.6,8.8,209,ES,F
AUDI,A4 2.0L TFSI (200ch) QUATTRO TIPTRONIC,MAU48G2FT214,13,147.0,A 6,13.1,7.2,9.4,224,ES,F
AUDI,A4 2.0L TFSI (200ch) QUATTRO TIPTRONIC,MAU48G2FU215,13,147.0,A 6,13.1,7.2,9.4,224,ES,F
AUDI,A4 2.0TDI (140ch),MAU56G2FJ144,8,103.0,M 6,7.8,4.5,5.7,153,GO,D
