marque,modele_version,cnit,mine,energie,puissance_fiscale,puissance_reelle,bv,urb,ex-urb,mixte,co2,immat
ASTON MARTIN,DB7 Vantage Volante 2PL CG,MAM1905CU054,DB7D6LCB2E2,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,2003-03-01
ASTON MARTIN,DB7 Vantage Volante 4PL BVA CG,MAM3905C5048,DB7D4LDC2E4,ES,36,306.0,A 5,33.1,11.9,19.7,472.0,2003-03-01
ASTON MARTIN,DB7 Vantage Volante 4PL CG,MAM1905CM046,DB7D2LCB2E4,ES,36,306.0,M 6,30.8,12.9,19.5,469.0,2003-03-01
ASTON MARTIN,VANQUISH 2PL CG,MAM1901GW060,AMV03A4LCKFD2,ES,40,345.0,M 6,25.6,11.5,16.7,396.0,2003-03-01
ASTON MARTIN,VANQUISH 4PL CG,MAM1901GU058,AMV03A2LCKFD4,ES,40,345.0,M 6,25.6,11.5,16.7,396.0,2003-03-01
AUDI,A2 1.4L (75ch),MAU11A2QK185,8ZLAUAF1FM52T008R8Z50S4I,ES,5,55.0,M 5,8.2,4.7,6.0,144.0,2003-03-01
AUDI,A2 1.4L (75ch),MAU11A2QL186,8ZLAUAF1FM52T008R8Z50S4K,ES,5,55.0,M 5,8.3,4.8,6.1,146.0,2003-03-01
AUDI,A2 1.4L (75ch),MAU11A2QM187,8ZLAUAF1FM52T008R8Z50S5I,ES,5,55.0,M 5,8.2,4.7,6.0,144.0,2003-03-01
AUDI,A2 1.4L (75ch),MAU11A2QN188,8ZLAUAF1FM52T008R8Z50S5K,ES,5,55.0,M 5,8.3,4.8,6.1,146.0,2003-03-01
AUDI,A2 1.4L (75ch),MAU11A2QJ209,8ZLBBYF1FM52T008R8Z50S4I,ES,5,55.0,M 5,8.1,4.6,5.9,142.0,2003-03-01
AUDI,A2 1.4TDI (75ch),MAU51A2QG177,8ZLAMFF1FM52J064R8Z50S4K,GO,4,55.0,M 5,5.6,3.5,4.3,116.0,2003-03-01
AUDI,A2 1.4TDI (75ch),MAU51A2QH178,8ZLAMFF1FM52J064R8Z50S4L,GO,4,55.0,M 5,5.7,3.6,4.4,119.0,2003-03-01
